Date,Exchange_Rate
2020-12,7.79461
2020-12,7.79461
2020-12,7.79461
2020-12,7.79455
2020-12,7.79340
2020-12,7.79496
2020-12,7.79241
2020-12,7.79241
2020-12,7.79241
2020-12,7.79241
2020-12,7.79005
2020-12,7.79333
2020-12,7.79382
2020-12,7.79382
2021-01,7.79382
2021-01,7.79382
2021-01,7.79382
2021-01,7.79417
2021-01,7.79369
2021-01,7.79735
2021-01,7.79493
2021-01,7.80089
2021-01,7.80089
2021-01,7.80089
2021-01,7.79581
2021-01,7.79620
2021-01,7.79686
2021-01,7.79124
2021-01,7.78903
2021-01,7.78903
2021-01,7.78903
2021-01,7.78560
2021-01,7.79345
2021-01,7.78725
2021-01,7.78209
2021-01,7.78162
2021-01,7.78162
2021-01,7.78162
2021-01,7.78124
2021-01,7.77958
2021-01,7.78483
2021-01,7.78262
2021-01,7.78638
2021-01,7.78638
2021-01,7.78638
2021-02,7.78003
2021-02,7.77836
2021-02,7.77857
2021-02,7.77652
2021-02,7.76627
2021-02,7.76627
2021-02,7.76627
2021-02,7.76611
2021-02,7.76291
2021-02,7.75873
2021-02,7.75519
2021-02,7.75002
2021-02,7.75002
2021-02,7.75002
2021-02,7.74667
2021-02,7.74640
2021-02,7.74185
2021-02,7.73698
2021-02,7.73197
2021-02,7.73197
2021-02,7.73197
2021-02,7.71868
2021-02,7.72021
2021-02,7.71568
2021-02,7.71480
2021-02,7.70922
2021-02,7.70922
2021-02,7.70922
2021-03,7.70606
2021-03,7.70271
2021-03,7.70784
2021-03,7.71007
2021-03,7.71553
2021-03,7.71553
2021-03,7.71553
2021-03,7.71276
2021-03,7.71698
2021-03,7.73021
2021-03,7.72378
2021-03,7.73057
2021-03,7.73057
2021-03,7.73057
2021-03,7.72429
2021-03,7.72084
2021-03,7.72462
2021-03,7.72059
2021-03,7.72156
2021-03,7.72156
2021-03,7.72156
2021-03,7.72274
2021-03,7.72002
2021-03,7.72758
2021-03,7.72719
2021-03,7.72379
2021-03,7.72379
2021-03,7.72379
2021-03,7.72267
2021-03,7.71990
2021-03,7.71498
2021-04,7.71498
2021-04,7.71498
2021-04,7.71498
2021-04,7.71498
2021-04,7.71790
2021-04,7.72277
2021-04,7.71815
2021-04,7.71725
2021-04,7.72209
2021-04,7.72209
2021-04,7.72209
2021-04,7.71748
2021-04,7.71454
2021-04,7.71791
2021-04,7.71877
2021-04,7.71832
2021-04,7.71832
2021-04,7.71832
2021-04,7.71216
2021-04,7.71103
2021-04,7.71206
2021-04,7.71432
2021-04,7.71463
2021-04,7.71463
2021-04,7.71463
2021-04,7.71238
2021-04,7.71167
2021-04,7.71934
2021-04,7.71649
2021-04,7.71812
2021-05,7.71812
2021-05,7.71812
2021-05,7.71812
2021-05,7.71336
2021-05,7.71288
2021-05,7.71170
2021-05,7.71133
2021-05,7.71133
2021-05,7.71133
2021-05,7.71048
2021-05,7.70861
2021-05,7.71034
2021-05,7.70898
2021-05,7.71020
2021-05,7.71020
2021-05,7.71020
2021-05,7.70923
2021-05,7.70920
2021-05,7.71246
2021-05,7.71203
2021-05,7.71822
2021-05,7.71822
2021-05,7.71822
2021-05,7.71544
2021-05,7.71791
2021-05,7.71942
2021-05,7.72190
2021-05,7.72459
2021-05,7.72459
2021-05,7.72459
2021-05,7.72117
2021-06,7.72935
2021-06,7.72179
2021-06,7.72533
2021-06,7.72994
2021-06,7.72994
2021-06,7.72994
2021-06,7.72393
2021-06,7.72481
2021-06,7.73186
2021-06,7.73802
2021-06,7.74072
2021-06,7.74072
2021-06,7.74072
2021-06,7.73700
2021-06,7.73582
2021-06,7.74111
2021-06,7.74153
2021-06,7.74443
2021-06,7.74443
2021-06,7.74443
2021-06,7.73757
2021-06,7.73800
2021-06,7.74412
2021-06,7.74428
2021-06,7.75033
2021-06,7.75033
2021-06,7.75033
2021-06,7.75033
2021-06,7.75033
2021-06,7.74404
2021-07,7.74400
2021-07,7.74502
2021-07,7.74502
2021-07,7.74502
2021-07,7.74235
2021-07,7.74274
2021-07,7.74339
2021-07,7.74471
2021-07,7.74768
2021-07,7.74768
2021-07,7.74768
2021-07,7.74799
2021-07,7.74134
2021-07,7.74309
2021-07,7.74341
2021-07,7.74478
2021-07,7.74478
2021-07,7.74478
2021-07,7.74535
2021-07,7.74279
2021-07,7.74457
2021-07,7.74615
2021-07,7.74671
2021-07,7.74671
2021-07,7.74671
2021-07,7.74425
2021-07,7.74312
2021-07,7.74328
2021-07,7.74762
2021-07,7.74751
2021-07,7.74751
2021-08,7.74751
2021-08,7.74846
2021-08,7.74181
2021-08,7.74579
2021-08,7.74765
2021-08,7.74821
2021-08,7.74821
2021-08,7.74821
2021-08,7.74671
2021-08,7.74134
2021-08,7.73950
2021-08,7.73969
2021-08,7.73802
2021-08,7.73802
2021-08,7.73802
2021-08,7.73802
2021-08,7.73577
2021-08,7.73522
2021-08,7.73636
2021-08,7.73501
2021-08,7.73501
2021-08,7.73501
2021-08,7.73248
2021-08,7.73216
2021-08,7.73273
2021-08,7.73256
2021-08,7.73179
2021-08,7.73179
2021-08,7.73179
2021-08,7.72752
2021-08,7.72957
2021-09,7.73080
2021-09,7.73415
2021-09,7.73213
2021-09,7.73213
2021-09,7.73213
2021-09,7.72922
2021-09,7.73432
2021-09,7.73144
2021-09,7.72900
2021-09,7.73025
2021-09,7.73025
2021-09,7.73025
2021-09,7.72909
2021-09,7.72760
2021-09,7.72760
2021-09,7.72827
2021-09,7.73272
2021-09,7.73272
2021-09,7.73272
2021-09,7.73082
2021-09,7.72868
2021-09,7.73206
2021-09,7.73345
2021-09,7.73690
2021-09,7.73690
2021-09,7.73690
2021-09,7.73277
2021-09,7.73175
2021-09,7.73524
2021-09,7.73365
2021-10,7.73369
2021-10,7.73369
